iter	Passed	Remaining
1182	1079958	4397431
1183	1080808	4396261
1184	1081562	4394701
1185	1082573	4394191
1186	1083676	4394048
1187	1084763	4393841
1188	1085683	4392953
1189	1086867	4393137
1190	1088024	4393205
1191	1089208	4393386
1192	1090478	4393907
1193	1091544	4393604
1194	1092726	4393765
1195	1093830	4393612
1196	1095017	4393791
1197	1096030	4393269
1198	1097407	4394205
1199	1098506	4394024
1200	1099737	4394371
1201	1100903	4394456
1202	1102230	4395180
1203	1103223	4394567
1204	1104335	4394432
1205	1105562	4394749
1206	1106678	4394623
1207	1107624	4393820
1208	1108535	4392880
1209	1109381	4391684
1210	1110169	4390259
1211	1111047	4389188
1212	1112045	4388590
1213	1112915	4387491
1214	1113605	4385681
1215	1114329	4384005
1216	1115261	4383153
1217	1116021	4381620
1218	1116720	4379851
1219	1117658	4379020
1220	1118580	4378130
1221	1119399	4376833
1222	1120244	4375640
1223	1121158	4374716
1224	1121887	4373071
1225	1122692	4371724
1226	1123560	4370623
1227	1124325	4369123
1228	1125120	4367739
1229	1125949	4366485
1230	1126717	4365001
1231	1127519	4363644
1232	1128387	4362547
1233	1129212	4361285
1234	1129967	4359754
1235	1130692	4358105
1236	1131664	4357410
1237	1132311	4355464
1238	1133119	4354143
1239	1134071	4353371
1240	1134785	4351689
1241	1135619	4350465
1242	1136463	4349280
1243	1137434	4348583
1244	1138342	4347644
1245	1139324	4346987
1246	1140157	4345763
1247	1141006	4344601
1248	1141955	4343819
1249	1142644	4342050
1250	1143372	4340427
1251	1144270	4339454
1252	1144948	4337645
1253	1145677	4336032
1254	1146470	4334664
1255	1147478	4334106
1256	1148152	4332290
1257	1149059	4331352
1258	1149916	4330224
1259	1150699	4328821
1260	1151739	4328384
1261	1152699	4327645
1262	1153448	4326117
1263	1154285	4324919
1264	1155344	4324550
1265	1156219	4323492
1266	1157014	4322138
1267	1157885	4321069
1268	1158785	4320105
1269	1159652	4319021
1270	1160676	4318521
1271	1161665	4317888
1272	1162532	4316802
1273	1163418	4315789
1274	1164231	4314505
1275	1164963	4312922
1276	1165816	4311784
1277	1166740	4310916
1278	1167628	4309911
1279	1168348	4308285
1280	1169011	4306453
1281	1169658	4304562
1282	1170617	4303822
1283	1171334	4302190
1284	1172532	4302327
1285	1173191	4300485
1286	1174049	4299374
1287	1174888	4298195
1288	1175826	4297376
1289	1176742	4296477
1290	1177551	4295189
1291	1178379	4293971
1292	1179436	4293588
1293	1180215	4292188
1294	1181089	4291140
1295	1181911	4289902
1296	1182992	4289601
1297	1184104	4289415
1298	1185145	4288968
